City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Baruun-Urt,MN,2021-12-09 21:40:22,46.6806,113.2792,16.43,68,7,5.79
185,Dingle,PH,2021-12-09 21:40:22,10.9995,122.6711,73.98,90,75,9.55
186,Cabo San Lucas,MX,2021-12-09 21:36:32,22.8909,-109.9124,86.5,49,1,8.05
187,Grand Gaube,MU,2021-12-09 21:40:23,-20.0064,57.6608,73.8,85,6,3.0
188,Polunochnoye,RU,2021-12-09 21:40:24,60.8697,60.4153,21.49,97,100,3.58
189,Flinders,AU,2021-12-09 21:40:26,-34.5833,150.8552,65.37,83,44,14.72
190,Hamilton,US,2021-12-09 21:35:54,39.1834,-84.5333,56.25,47,1,1.01
191,Babushkin,RU,2021-12-09 21:40:27,51.7122,105.8647,16.0,83,100,7.94
192,Taoudenni,ML,2021-12-09 21:40:28,22.6783,-3.9836,67.6,11,100,12.48
193,Ponta Do Sol,PT,2021-12-09 21:40:29,32.6667,-17.1,65.71,75,58,8.34
194,Skelleftea,SE,2021-12-09 21:40:29,64.7507,20.9528,26.96,69,90,1.01
195,Laguna,US,2021-12-09 21:40:30,38.421,-121.4238,59.29,71,20,4.0
196,Port Augusta,AU,2021-12-09 21:40:30,-32.5,137.7667,62.71,49,0,8.01
197,Derzhavinsk,KZ,2021-12-09 21:40:31,51.1,66.3167,11.23,73,79,8.43
198,Kushima,JP,2021-12-09 21:40:32,31.4583,131.2333,53.11,85,46,4.25
199,Baghdad,IQ,2021-12-09 21:38:11,33.3406,44.4009,48.11,61,0,3.44
200,Coquimbo,CL,2021-12-09 21:40:33,-29.9533,-71.3436,65.93,68,0,13.8
201,Codrington,AU,2021-12-09 21:40:34,-38.2667,141.9667,56.66,73,92,14.0
202,Victoria,HK,2021-12-09 21:39:21,22.2855,114.1577,67.32,85,1,4.0
203,Stromness,GB,2021-12-09 21:40:35,58.965,-3.296,42.76,86,100,21.09
204,Panalingaan,PH,2021-12-09 21:40:35,8.7842,117.4231,77.49,88,100,2.89
205,Serov,RU,2021-12-09 21:40:36,59.6033,60.5787,27.48,84,100,9.89
206,Kahului,US,2021-12-09 21:36:45,20.8947,-156.47,82.85,68,20,4.61
207,Mayskiy,RU,2021-12-09 21:40:37,47.6931,40.1025,47.44,77,100,4.92
208,Bakel,SN,2021-12-09 21:40:37,14.905,-12.4568,80.4,13,64,10.56
209,Koumra,TD,2021-12-09 21:40:38,8.9126,17.5539,78.35,23,6,5.28
210,Malino,PH,2021-12-09 21:40:39,15.1257,120.6727,75.85,85,70,3.47
211,Kijang,KR,2021-12-09 21:40:39,35.2442,129.2139,40.73,71,28,3.85
212,Namatanai,PG,2021-12-09 21:40:40,-3.6667,152.4333,82.71,80,78,12.68
213,Te Anau,NZ,2021-12-09 21:40:41,-45.4167,167.7167,61.21,55,27,0.83
214,Ribas Do Rio Pardo,BR,2021-12-09 21:40:41,-20.4431,-53.7592,81.01,34,30,7.0
215,Nemyriv,UA,2021-12-09 21:40:42,48.9708,28.8378,33.33,96,98,9.73
216,Los Reyes,MX,2021-12-09 21:40:42,19.35,-98.9667,74.95,20,1,4.61
217,Verkhoyansk,RU,2021-12-09 21:40:43,67.5447,133.385,-40.52,99,96,1.57
218,Porto Novo,BJ,2021-12-09 21:37:36,6.4965,2.6036,84.02,83,30,5.26
219,Cockburn Town,TC,2021-12-09 21:40:43,21.4612,-71.1419,80.56,61,20,9.22
220,Somerset East,ZA,2021-12-09 21:40:44,-32.7217,25.588,64.81,91,98,5.77
221,Dunedin,NZ,2021-12-09 21:40:44,-45.8742,170.5036,54.7,81,84,7.16
222,Kysyl-Syr,RU,2021-12-09 21:40:45,63.8986,122.7617,-3.48,97,100,6.51
223,Caldas Novas,BR,2021-12-09 21:40:46,-17.7417,-48.625,73.44,61,8,6.2
224,Bambous Virieux,MU,2021-12-09 21:40:46,-20.3428,57.7575,73.65,88,75,10.36
225,Provideniya,RU,2021-12-09 21:40:47,64.3833,-173.3,5.11,78,90,17.9
226,Moose Factory,CA,2021-12-09 21:40:47,51.2585,-80.6094,5.0,72,1,8.05
227,La Romana,DO,2021-12-09 21:40:48,18.4273,-68.9728,84.56,65,20,9.22
228,Korla,CN,2021-12-09 21:40:49,41.7597,86.1469,29.5,65,98,11.1
229,Vila Velha,BR,2021-12-09 21:35:59,-20.3297,-40.2925,75.15,84,75,5.75
230,Necochea,AR,2021-12-09 21:37:50,-38.5473,-58.7368,64.04,56,100,13.8
231,Marystown,CA,2021-12-09 21:40:50,47.1666,-55.1483,29.86,100,100,20.0
232,Vuktyl,RU,2021-12-09 21:40:50,63.8567,57.3094,16.57,96,100,3.36
233,College,US,2021-12-09 21:40:51,64.8569,-147.8028,10.06,82,75,0.0
234,Chokurdakh,RU,2021-12-09 21:40:52,70.6333,147.9167,-47.4,100,79,3.53
235,Naron,ES,2021-12-09 21:40:52,43.5167,-8.1528,58.05,95,100,19.57
236,Linxia,CN,2021-12-09 21:40:53,35.6003,103.2064,30.94,65,100,1.34
237,Henties Bay,NA,2021-12-09 21:40:53,-22.116,14.2845,59.86,91,5,3.06
238,Ostrovnoy,RU,2021-12-09 21:40:54,68.0531,39.5131,12.24,96,94,10.02
239,Tabuk,PH,2021-12-09 21:40:55,17.4189,121.4443,67.1,88,80,3.71
240,Nador,MA,2021-12-09 21:40:55,35.174,-2.9287,59.25,72,0,23.02
241,Inuvik,CA,2021-12-09 21:36:48,68.3499,-133.7218,5.86,85,20,5.75
242,Koundara,GN,2021-12-09 21:40:56,12.4833,-13.3,79.57,19,37,2.39
243,Funadhoo,MV,2021-12-09 21:40:57,6.15,73.2667,81.43,78,99,9.4
244,Basco,PH,2021-12-09 21:40:57,20.4487,121.9702,75.54,64,57,25.28
245,Hovd,MN,2021-12-09 21:40:58,48.0056,91.6419,8.31,80,51,5.23
246,Rafaela,AR,2021-12-09 21:40:58,-31.2503,-61.4867,84.34,28,100,10.83
247,Turukhansk,RU,2021-12-09 21:40:59,65.8167,87.9833,-25.26,100,92,3.44
248,Turkmenabat,TM,2021-12-09 21:41:00,39.0733,63.5786,40.98,60,0,11.5
249,Leninskoye,KZ,2021-12-09 21:41:00,41.7589,69.3864,33.73,22,5,3.94
250,Gamba,GA,2021-12-09 21:41:01,-2.65,10.0,77.88,90,100,4.56
251,Lata,PT,2021-12-09 21:41:02,40.1629,-8.3327,54.91,95,100,3.31
252,Yuanping,CN,2021-12-09 21:41:02,38.7153,112.7575,33.21,52,100,2.77
253,Santa Rosa,PH,2021-12-09 21:41:03,14.3122,121.1114,76.98,76,95,14.32
254,Zyryanka,RU,2021-12-09 21:41:04,65.75,150.85,-45.09,98,84,4.88
255,At-Bashi,KG,2021-12-09 21:41:04,41.1702,75.8106,5.83,74,8,1.54
256,Tagusao,PH,2021-12-09 21:41:05,9.1924,117.8141,77.68,85,100,3.49
257,Teguldet,RU,2021-12-09 21:41:06,57.3064,88.1667,5.27,89,100,14.14
258,Petatlan,MX,2021-12-09 21:41:06,17.5167,-101.2667,85.69,56,26,5.79
259,Alofi,NU,2021-12-09 21:41:07,-19.0595,-169.9187,78.69,83,90,8.05
260,Nurobod,UZ,2021-12-09 21:41:08,40.9056,69.8023,32.85,22,2,9.4
261,Goderich,CA,2021-12-09 21:41:08,43.7501,-81.7165,30.9,74,100,13.8
262,Hot Springs,US,2021-12-09 21:40:17,34.5037,-93.0552,59.7,90,90,3.0
263,Hsinchu,TW,2021-12-09 21:41:10,24.8036,120.9686,71.91,68,10,5.01
264,Bloemfontein,ZA,2021-12-09 21:43:16,-29.1211,26.214,58.48,88,84,10.36
265,Kerema,PG,2021-12-09 21:43:16,-7.9631,145.7785,78.04,86,100,3.96
266,Najran,SA,2021-12-09 21:43:17,17.4924,44.1277,52.45,28,0,0.56
267,Bethanien,NA,2021-12-09 21:43:17,-26.502,17.1583,73.18,28,1,5.23
268,Pingliang,CN,2021-12-09 21:43:18,35.5392,106.6861,38.41,62,100,2.82
269,Mahon,ES,2021-12-09 21:38:57,39.8885,4.2658,54.16,71,75,5.75
270,Loiza,PR,2021-12-09 21:41:19,18.4313,-65.8802,82.4,69,40,14.97
271,Vazante,BR,2021-12-09 21:43:19,-17.9869,-46.9078,75.58,58,26,2.46
