City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,San Pedro,PH,77.11,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
617,Xai-Xai,MZ,74.7,light rain,-25.0519,33.6442,Complexo da Familia
619,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
629,Pampa,US,71.74,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
630,Kiama,AU,81.25,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
632,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
633,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
636,Kontagora,NG,71.8,broken clouds,10.3999,5.4695,Queens Guest Inn
638,Manama,BH,67.98,broken clouds,26.2154,50.5832,Al Safir Hotel
639,Antalaha,MG,72.05,clear sky,-14.9003,50.2788,Hotel Vitasoa
640,Malinyi,TZ,71.69,broken clouds,-8.9333,36.1333,
643,Tlapacoyan,MX,68.45,scattered clouds,19.9667,-97.2167,Hotel San Diego
646,Charlestown,AU,85.21,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
648,Pimentel,PE,68.29,broken clouds,-6.8367,-79.9342,Casona Del Muelle
649,Lubao,PH,77.07,broken clouds,14.9167,120.55,Hacienda Gracia
650,Buala,SB,84.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
653,Sinfra,CI,73.83,broken clouds,6.6167,-5.9167,Hote Ivoire Sinfra
654,Mecca,SA,72.03,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
655,San Nicolas,PH,79.95,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
657,Vaitape,PF,82.0,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
658,Chimore,BO,73.42,moderate rain,-16.9833,-65.1333,Bichito
661,Yaqui,MX,79.09,few clouds,27.3667,-110.1667,
662,Carutapera,BR,78.6,scattered clouds,-1.195,-46.02,Lidera
664,Amapa,BR,73.2,broken clouds,1.0,-52.0,
666,Alamos,MX,79.72,few clouds,27.0167,-108.9333,Luz del Sol
668,Vanimo,PG,80.31,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
670,Samarai,PG,84.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
676,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
679,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
682,Adre,TD,70.61,broken clouds,13.4667,22.2,
683,Libreville,GA,77.02,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
