City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Kirundo,BI,-2.5833,30.1667,66.97,96,49,2.08,scattered clouds
198,Katsina,NG,12.9894,7.6006,63.88,15,33,10.09,scattered clouds
199,Velasco Ibarra,EC,-1.05,-79.6167,72.45,91,100,1.74,overcast clouds
200,Luwuk,ID,-0.9516,122.7875,84.0,67,100,1.1,overcast clouds
201,Tiksi,RU,71.6872,128.8694,-31.13,99,69,3.49,broken clouds
202,Abha,SA,18.2164,42.5053,46.22,45,0,0.0,clear sky
203,Kloulklubed,PW,7.0419,134.2556,81.1,76,100,23.91,overcast clouds
204,Wiang Sa,TH,8.6359,99.3666,78.85,92,84,2.68,broken clouds
205,Mbengwi,CM,6.0167,10.0,64.17,46,92,1.83,overcast clouds
206,Porangatu,BR,-13.4408,-49.1486,72.57,96,100,0.76,light rain
207,Sisimiut,GL,66.9395,-53.6735,20.26,92,84,14.41,light snow
208,Istanbul,TR,41.0351,28.9833,50.07,93,90,18.41,overcast clouds
209,Mpika,ZM,-11.8343,31.4529,65.17,50,33,4.72,scattered clouds
210,Mount Pleasant,US,32.7941,-79.8626,59.18,89,75,1.99,broken clouds
211,Sarakhs,IR,36.5449,61.1577,32.99,67,80,3.22,broken clouds
212,Camacha,PT,33.0833,-16.3333,54.82,72,40,6.91,scattered clouds
213,Muskogee,US,35.5834,-95.3336,68.54,80,90,9.22,overcast clouds
214,Fort Nelson,CA,58.8053,-122.7002,-24.21,76,40,0.0,scattered clouds
215,Sheridan,US,44.8333,-106.9173,57.38,30,1,19.57,clear sky
216,Gloucester,GB,51.8657,-2.2431,53.47,90,81,20.0,broken clouds
217,Hays,US,30.0502,-98.0336,73.24,81,100,5.21,overcast clouds
218,Elko,US,41.0002,-115.5012,30.74,86,100,8.01,light snow
219,Kaitangata,NZ,-46.2817,169.8464,59.94,76,100,16.04,overcast clouds
220,Belaya Gora,RU,68.5333,146.4167,-29.11,97,100,1.66,overcast clouds
221,Saint-Pierre,RE,-21.3393,55.4781,78.44,72,0,6.91,clear sky
222,Aksarka,RU,66.5606,67.7975,7.32,97,97,5.06,overcast clouds
223,Labuan,MY,5.2767,115.2417,80.96,94,20,0.0,light rain
224,Ponta Do Sol,PT,32.6667,-17.1,58.71,73,36,7.18,scattered clouds
225,Kirkwall,GB,58.9848,-2.9587,51.85,87,90,9.22,overcast clouds
226,Maniitsoq,GL,65.4167,-52.9,23.09,59,18,4.45,few clouds
227,Hithadhoo,MV,-0.6,73.0833,81.14,78,64,7.92,broken clouds
228,Yurty,RU,56.0498,97.6348,-4.16,99,100,0.69,overcast clouds
229,Kaseda,JP,31.4167,130.3167,42.03,66,51,4.83,broken clouds
230,Constitucion,CL,-35.3333,-72.4167,56.01,75,4,13.98,clear sky
231,Fairbanks,US,64.8378,-147.7164,-32.4,65,75,0.0,mist
232,Lebu,CL,-37.6167,-73.65,55.36,81,0,15.17,clear sky
233,Mwinilunga,ZM,-11.7358,24.4293,63.28,95,92,0.6,light rain
234,Hasaki,JP,35.7333,140.8333,36.0,73,0,7.92,clear sky
235,Arman,RU,59.7,150.1667,-1.98,83,100,9.37,overcast clouds
236,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,89,75,1.01,broken clouds
237,Marzuq,YE,14.4,46.4667,52.88,29,7,2.75,clear sky
238,Port Hedland,AU,-20.3167,118.5667,84.25,74,22,14.97,few clouds
239,Westport,US,41.1415,-73.3579,48.74,57,1,1.99,clear sky
240,General Cepeda,MX,25.3833,-101.45,74.61,45,98,4.63,overcast clouds
241,Mount Isa,AU,-20.7333,139.5,91.17,38,2,6.91,clear sky
242,Dangriga,BZ,16.9692,-88.2321,80.56,83,70,11.88,broken clouds
243,Pangnirtung,CA,66.1451,-65.7125,-0.4,60,20,14.97,few clouds
244,Srednekolymsk,RU,67.45,153.6833,-20.79,94,100,2.26,overcast clouds
245,Moree,AU,-29.4667,149.85,80.62,50,0,10.36,clear sky
246,Necochea,AR,-38.5473,-58.7368,71.04,63,100,11.77,overcast clouds
247,Krasnoselkup,RU,65.7,82.4667,-1.77,97,100,19.42,light snow
248,Prosvet,RU,55.5703,65.0825,24.71,75,99,13.49,overcast clouds
249,Lichinga,MZ,-13.3128,35.2406,65.12,56,5,6.46,clear sky
250,Kahului,US,20.8947,-156.47,80.62,77,20,24.16,light rain
251,Awbari,LY,26.5921,12.7805,45.68,55,17,3.65,few clouds
252,Neuquen,AR,-38.9516,-68.0591,80.49,22,0,0.0,clear sky
253,Prince Rupert,CA,54.3161,-130.3201,33.49,55,90,8.05,overcast clouds
254,Senanga,ZM,-16.1167,23.2667,68.56,76,76,2.37,broken clouds
255,Juneau,US,58.3019,-134.4197,24.85,90,75,1.01,broken clouds
256,Isangel,VU,-19.55,169.2667,82.51,83,75,10.36,broken clouds
